k,t,I,SOC_true,SOC_est,T_true,T_est,H_est,V_true,V_meas,V_est,R0_true,R0_model,R1_true,R1_model,C1_true,C1_model
0,1.00,1.0000,0.79989,0.69685,20.00,24.98,0.03369,3.5238,3.5251,3.5248,0.030802,0.026416,0.006881,0.010446,1455.95,1155.28
1,2.00,1.0000,0.79978,0.73820,20.00,25.00,0.04652,3.5243,3.5406,3.5336,0.030803,0.025953,0.006881,0.010083,1455.89,1173.26
2,3.00,1.0000,0.79967,0.68208,20.00,24.99,0.03058,3.5248,3.5148,3.5234,0.030805,0.026593,0.006882,0.010579,1455.84,1149.11
3,4.00,1.0000,0.79956,0.69990,20.00,24.99,0.03489,3.5252,3.5279,3.5247,0.030807,0.026388,0.006883,0.010421,1455.78,1156.74
4,5.00,1.0000,0.79944,0.72821,20.00,25.00,0.04234,3.5256,3.5379,3.5307,0.030808,0.026068,0.006884,0.010171,1455.73,1168.98
5,6.00,1.0000,0.79933,0.70862,20.00,24.99,0.03810,3.5259,3.5190,3.5253,0.030810,0.026289,0.006884,0.010344,1455.67,1160.51
6,7.00,1.0000,0.79922,0.71227,20.00,24.98,0.03874,3.5262,3.5274,3.5258,0.030812,0.026241,0.006885,0.010310,1455.62,1161.92
7,8.00,1.0000,0.79911,0.72636,20.00,24.97,0.04068,3.5265,3.5377,3.5303,0.030814,0.026069,0.006886,0.010182,1455.56,1167.73
8,9.00,1.0000,0.79900,0.71684,20.00,24.97,0.04016,3.5267,3.5216,3.5270,0.030815,0.026178,0.006887,0.010266,1455.51,1163.66
9,10.00,1.0000,0.79889,0.70892,20.00,24.97,0.04044,3.5269,3.5192,3.5240,0.030817,0.026269,0.006887,0.010336,1455.45,1160.26
10,11.00,1.0000,0.79878,0.72243,20.00,24.95,0.03901,3.5270,3.5377,3.5285,0.030819,0.026099,0.006888,0.010212,1455.40,1165.71
11,12.00,1.0000,0.79867,0.71220,20.00,24.95,0.04064,3.5271,3.5177,3.5248,0.030820,0.026217,0.006889,0.010303,1455.34,1161.36
12,13.00,1.0000,0.79856,0.71429,20.00,24.94,0.04005,3.5273,3.5268,3.5253,0.030822,0.026186,0.006890,0.010282,1455.29,1162.09
13,14.00,1.0000,0.79844,0.72161,20.00,24.92,0.03783,3.5273,3.5326,3.5275,0.030824,0.026092,0.006890,0.010215,1455.23,1165.00
14,15.00,1.0000,0.79833,0.72870,20.00,24.91,0.03533,3.5274,3.5344,3.5295,0.030825,0.026001,0.006891,0.010149,1455.18,1167.82
15,16.00,1.0000,0.79822,0.73908,20.00,24.90,0.03131,3.5275,3.5395,3.5325,0.030827,0.025872,0.006892,0.010054,1455.13,1172.02
16,17.00,1.0000,0.79811,0.73969,20.00,24.89,0.03114,3.5275,3.5335,3.5327,0.030829,0.025859,0.006892,0.010047,1455.07,1172.14
17,18.00,1.0000,0.79800,0.73034,20.00,24.90,0.03139,3.5276,3.5105,3.5264,0.030830,0.025973,0.006893,0.010132,1455.02,1168.31
18,19.00,1.0000,0.79789,0.73250,20.00,24.89,0.03073,3.5276,3.5299,3.5274,0.030832,0.025940,0.006894,0.010110,1454.96,1169.05
19,20.00,1.0000,0.79778,0.74424,20.00,24.87,0.02609,3.5276,3.5422,3.5315,0.030834,0.025792,0.006895,0.010002,1454.91,1173.76
20,21.00,1.0000,0.79767,0.74353,20.00,24.86,0.02626,3.5276,3.5303,3.5311,0.030835,0.025795,0.006895,0.010007,1454.85,1173.34
21,22.00,1.0000,0.79756,0.74297,20.00,24.85,0.02631,3.5276,3.5298,3.5307,0.030837,0.025796,0.006896,0.010011,1454.80,1172.99
22,23.00,1.0000,0.79744,0.74137,20.00,24.85,0.02617,3.5276,3.5249,3.5291,0.030839,0.025812,0.006897,0.010024,1454.74,1172.24
23,24.00,1.0000,0.79733,0.73882,20.00,24.85,0.02536,3.5276,3.5162,3.5257,0.030840,0.025842,0.006898,0.010047,1454.69,1171.17
24,25.00,1.0000,0.79722,0.74162,20.00,24.83,0.02697,3.5275,3.5451,3.5307,0.030842,0.025793,0.006898,0.010017,1454.63,1171.99
25,26.00,1.0000,0.79711,0.74095,20.00,24.82,0.02650,3.5275,3.5259,3.5294,0.030844,0.025798,0.006899,0.010022,1454.58,1171.63
26,27.00,1.0000,0.79700,0.74145,20.00,24.81,0.02710,3.5275,3.5353,3.5309,0.030846,0.025784,0.006900,0.010015,1454.52,1171.65
27,28.00,1.0000,0.79689,0.74140,20.00,24.80,0.02716,3.5274,3.5313,3.5309,0.030847,0.025779,0.006901,0.010014,1454.47,1171.50
28,29.00,1.0000,0.79678,0.74044,20.00,24.80,0.02612,3.5274,3.5207,3.5282,0.030849,0.025788,0.006901,0.010022,1454.41,1171.05
29,30.00,1.0000,0.79667,0.73929,20.00,24.80,0.02501,3.5273,3.5164,3.5252,0.030851,0.025801,0.006902,0.010032,1454.36,1170.55
30,31.00,1.0000,0.79656,0.74009,20.00,24.78,0.02575,3.5273,3.5344,3.5276,0.030852,0.025781,0.006903,0.010022,1454.30,1170.66
31,32.00,1.0000,0.79644,0.73935,20.00,24.78,0.02532,3.5272,3.5215,3.5260,0.030854,0.025787,0.006903,0.010028,1454.25,1170.29
32,33.00,1.0000,0.79633,0.73954,20.00,24.77,0.02547,3.5272,3.5286,3.5267,0.030856,0.025778,0.006904,0.010024,1454.19,1170.22
33,34.00,1.0000,0.79622,0.73964,20.01,24.76,0.02555,3.5271,3.5283,3.5271,0.030857,0.025771,0.006905,0.010022,1454.14,1170.12
34,35.00,1.0000,0.79611,0.74094,20.01,24.75,0.02597,3.5270,3.5375,3.5297,0.030859,0.025746,0.006906,0.010007,1454.08,1170.44
35,36.00,1.0000,0.79600,0.73962,20.01,24.74,0.02565,3.5270,3.5207,3.5273,0.030861,0.025759,0.006906,0.010018,1454.03,1169.82
36,37.00,1.0000,0.79589,0.73965,20.01,24.73,0.02567,3.5269,3.5283,3.5275,0.030862,0.025752,0.006907,0.010016,1453.97,1169.71
37,38.00,1.0000,0.79578,0.74085,20.01,24.72,0.02582,3.5268,3.5359,3.5295,0.030864,0.025730,0.006908,0.010003,1453.92,1170.03
38,39.00,1.0000,0.79567,0.73968,20.01,24.72,0.02571,3.5268,3.5226,3.5277,0.030866,0.025740,0.006909,0.010012,1453.87,1169.44
39,40.00,1.0000,0.79556,0.73939,20.01,24.71,0.02570,3.5267,3.5266,3.5274,0.030867,0.025738,0.006909,0.010014,1453.81,1169.21
40,41.00,1.0000,0.79544,0.73641,20.01,24.71,0.02572,3.5266,3.5109,3.5233,0.030869,0.025772,0.006910,0.010040,1453.76,1167.93
41,42.00,1.0000,0.79533,0.73653,20.01,24.70,0.02562,3.5265,3.5239,3.5235,0.030871,0.025765,0.006911,0.010037,1453.70,1167.85
42,43.00,1.0000,0.79522,0.73975,20.01,24.69,0.02385,3.5265,3.5283,3.5248,0.030872,0.025721,0.006912,0.010006,1453.65,1169.06
43,44.00,1.0000,0.79511,0.74177,20.01,24.68,0.02278,3.5264,3.5284,3.5257,0.030874,0.025691,0.006912,0.009987,1453.59,1169.77
44,45.00,1.0000,0.79500,0.73612,20.01,24.68,0.02542,3.5263,3.5151,3.5231,0.030876,0.025754,0.006913,0.010036,1453.54,1167.32
45,46.00,1.0000,0.79489,0.73908,20.01,24.67,0.02376,3.5262,3.5273,3.5242,0.030877,0.025713,0.006914,0.010008,1453.48,1168.43
46,47.00,1.0000,0.79478,0.73822,20.01,24.66,0.02414,3.5262,3.5230,3.5239,0.030879,0.025718,0.006914,0.010014,1453.43,1167.95
47,48.00,1.0000,0.79467,0.73696,20.01,24.66,0.02471,3.5261,3.5219,3.5235,0.030881,0.025728,0.006915,0.010024,1453.37,1167.31
48,49.00,1.0000,0.79456,0.73728,20.01,24.65,0.01028,3.5260,3.5100,3.5095,0.030882,0.025719,0.006916,0.010019,1453.32,1167.32
49,50.00,1.0000,0.79444,0.73971,20.01,24.64,0.02563,3.5259,3.5441,3.5276,0.030884,0.025684,0.006917,0.009996,1453.26,1168.19
50,51.00,1.0000,0.79433,0.74000,20.01,24.63,0.02638,3.5259,3.5306,3.5287,0.030886,0.025675,0.006917,0.009992,1453.21,1168.19
51,52.00,1.0000,0.79422,0.73715,20.01,24.62,0.02406,3.5258,3.5121,3.5233,0.030888,0.025703,0.006918,0.010016,1453.15,1166.88
52,53.00,1.0000,0.79411,0.73924,20.01,24.61,0.02369,3.5257,3.5327,3.5253,0.030889,0.025673,0.006919,0.009995,1453.10,1167.62
53,54.00,1.0000,0.79400,0.73899,20.01,24.61,0.02353,3.5256,3.5244,3.5249,0.030891,0.025671,0.006920,0.009996,1453.04,1167.39
54,55.00,1.0000,0.79389,0.74034,20.01,24.60,0.02435,3.5255,3.5326,3.5273,0.030893,0.025649,0.006920,0.009982,1452.99,1167.84
55,56.00,1.0000,0.79378,0.73881,20.01,24.59,0.02397,3.5255,3.5204,3.5253,0.030894,0.025662,0.006921,0.009994,1452.93,1167.07
56,57.00,1.0000,0.79367,0.73941,20.01,24.58,0.02401,3.5254,3.5282,3.5260,0.030896,0.025650,0.006922,0.009988,1452.88,1167.20
57,58.00,1.0000,0.79356,0.74004,20.01,24.58,0.02397,3.5253,3.5289,3.5267,0.030898,0.025637,0.006922,0.009980,1452.82,1167.35
58,59.00,1.0000,0.79344,0.73671,20.01,24.57,0.02434,3.5252,3.5143,3.5234,0.030899,0.025670,0.006923,0.010008,1452.77,1165.82
59,60.00,1.0000,0.79333,0.73312,20.01,24.56,0.02581,3.5251,3.5168,3.5218,0.030901,0.025706,0.006924,0.010038,1452.71,1164.19
60,61.00,1.0000,0.79322,0.74142,20.01,24.55,0.02156,3.5251,3.5334,3.5248,0.030903,0.025605,0.006925,0.009964,1452.66,1167.57
61,62.00,1.0000,0.79311,0.74525,20.01,24.54,0.01966,3.5250,3.5310,3.5263,0.030904,0.025556,0.006925,0.009928,1452.60,1169.08
62,63.00,1.0000,0.79300,0.74296,20.01,24.54,0.02067,3.5249,3.5223,3.5252,0.030906,0.025577,0.006926,0.009947,1452.55,1167.98
63,64.00,1.0000,0.79289,0.74760,20.01,24.53,0.01851,3.5248,3.5342,3.5274,0.030908,0.025519,0.006927,0.009905,1452.49,1169.83
64,65.00,1.0000,0.79278,0.74514,20.01,24.52,0.01955,3.5247,3.5224,3.5260,0.030909,0.025542,0.006928,0.009925,1452.44,1168.66
65,66.00,1.0000,0.79267,0.74331,20.01,24.51,0.02030,3.5247,3.5223,3.5250,0.030911,0.025557,0.006928,0.009939,1452.38,1167.76
66,67.00,1.0000,0.79256,0.74482,20.01,24.51,0.01956,3.5246,3.5283,3.5258,0.030913,0.025535,0.006929,0.009924,1452.33,1168.29
67,68.00,1.0000,0.79244,0.74418,20.01,24.50,0.01978,3.5245,3.5245,3.5254,0.030914,0.025537,0.006930,0.009928,1452.27,1167.90
68,69.00,1.0000,0.79233,0.74402,20.01,24.49,0.01979,3.5244,3.5251,3.5252,0.030916,0.025534,0.006931,0.009928,1452.22,1167.72
69,70.00,1.0000,0.79222,0.75127,20.01,24.48,0.01640,3.5243,3.5402,3.5288,0.030918,0.025446,0.006931,0.009863,1452.16,1170.68
70,71.00,1.0000,0.79211,0.74727,20.01,24.48,0.01818,3.5242,3.5206,3.5266,0.030919,0.025486,0.006932,0.009897,1452.11,1168.84
71,72.00,1.0000,0.79200,0.73931,20.01,24.47,0.02185,3.5242,3.5109,3.5226,0.030921,0.025569,0.006933,0.009965,1452.05,1165.31
72,73.00,1.0000,0.79189,0.74067,20.01,24.46,0.02113,3.5241,3.5255,3.5233,0.030923,0.025549,0.006933,0.009951,1452.00,1165.77
73,74.00,1.0000,0.79178,0.73543,20.01,24.45,0.02359,3.5240,3.5135,3.5209,0.030924,0.025604,0.006934,0.009996,1451.94,1163.45
74,75.00,1.0000,0.79167,0.74118,20.01,24.44,0.02042,3.5239,3.5291,3.5230,0.030926,0.025532,0.006935,0.009944,1451.89,1165.74
75,76.00,1.0000,0.79156,0.73669,20.01,24.44,0.02273,3.5238,3.5165,3.5214,0.030928,0.025579,0.006936,0.009982,1451.83,1163.74
76,77.00,1.0000,0.79144,0.72766,20.01,24.43,0.02770,3.5238,3.5107,3.5188,0.030929,0.025678,0.006936,0.010060,1451.78,1159.83
77,78.00,1.0000,0.79133,0.71583,20.01,24.43,0.03439,3.5237,3.5068,3.5159,0.030931,0.025810,0.006937,0.010163,1451.72,1154.77
78,79.00,1.0000,0.79122,0.70662,20.01,24.43,0.03965,3.5236,3.5076,3.5140,0.030933,0.025912,0.006938,0.010243,1451.67,1150.81
79,80.00,1.0000,0.79111,0.71398,20.01,24.42,0.03518,3.5235,3.5207,3.5159,0.030934,0.025821,0.006939,0.010176,1451.61,1153.75
80,81.00,1.0000,0.79100,0.71342,20.01,24.41,0.03540,3.5234,3.5157,3.5160,0.030936,0.025822,0.006939,0.010180,1451.56,1153.40
81,82.00,1.0000,0.79089,0.71359,20.01,24.40,0.03520,3.5233,3.5163,3.5162,0.030938,0.025815,0.006940,0.010177,1451.50,1153.36
82,83.00,1.0000,0.79078,0.69825,20.01,24.40,0.04419,3.5233,3.5044,3.5132,0.030939,0.025987,0.006941,0.010311,1451.45,1146.82
83,84.00,1.0000,0.79067,0.69638,20.01,24.39,0.04516,3.5232,3.5120,3.5131,0.030941,0.026004,0.006941,0.010326,1451.39,1145.93
84,85.00,1.0000,0.79056,0.73132,20.01,24.37,0.02440,3.5231,3.5411,3.5205,0.030943,0.025593,0.006942,0.010015,1451.34,1160.40
85,86.00,1.0000,0.79044,0.71656,20.01,24.36,0.03303,3.5230,3.5086,3.5174,0.030944,0.025756,0.006943,0.010143,1451.28,1154.03
86,87.00,1.0000,0.79033,0.72167,20.01,24.36,0.02996,3.5229,3.5217,3.5186,0.030946,0.025692,0.006944,0.010097,1451.23,1156.08
87,88.00,1.0000,0.79022,0.72535,20.01,24.35,0.02775,3.5229,3.5217,3.5194,0.030948,0.025646,0.006944,0.010063,1451.17,1157.54
88,89.00,1.0000,0.79011,0.72803,20.01,24.34,0.02614,3.5228,3.5217,3.5200,0.030950,0.025611,0.006945,0.010038,1451.12,1158.56
89,90.00,1.0000,0.79000,0.70684,20.01,24.33,0.03837,3.5227,3.5019,3.5153,0.030951,0.025842,0.006946,0.010222,1451.06,1149.40
90,91.00,1.0000,0.78989,0.70057,20.01,24.33,0.04189,3.5226,3.5100,3.5140,0.030953,0.025908,0.006947,0.010275,1451.01,1146.63
91,92.00,1.0000,0.78978,0.72406,20.01,24.32,0.02827,3.5225,3.5351,3.5195,0.030955,0.025637,0.006947,0.010067,1450.95,1156.45
92,93.00,1.0000,0.78967,0.72038,20.01,24.31,0.03032,3.5224,3.5162,3.5186,0.030956,0.025673,0.006948,0.010098,1450.90,1154.77
93,94.00,1.0000,0.78956,0.71621,20.01,24.30,0.03264,3.5224,3.5148,3.5177,0.030958,0.025714,0.006949,0.010133,1450.84,1152.88
94,95.00,1.0000,0.78944,0.72401,20.01,24.29,0.02813,3.5223,3.5250,3.5195,0.030960,0.025623,0.006950,0.010064,1450.79,1156.10
95,96.00,1.0000,0.78933,0.73020,20.01,24.29,0.02457,3.5222,3.5254,3.5210,0.030961,0.025549,0.006950,0.010008,1450.73,1158.64
96,97.00,1.0000,0.78922,0.73180,20.01,24.28,0.02363,3.5221,3.5225,3.5213,0.030963,0.025527,0.006951,0.009993,1450.68,1159.22
97,98.00,1.0000,0.78911,0.74942,20.01,24.28,0.01368,3.5220,3.5386,3.5256,0.030965,0.025329,0.006952,0.009839,1450.62,1166.71
98,99.00,1.0000,0.78900,0.74375,20.01,24.27,0.01676,3.5219,3.5191,3.5238,0.030966,0.025385,0.006952,0.009887,1450.57,1164.13
99,100.00,1.0000,0.78889,0.75417,20.01,24.27,0.01107,3.5219,3.5364,3.5268,0.030968,0.025268,0.006953,0.009796,1450.51,1168.56
100,101.00,1.0000,0.78878,0.74462,20.01,24.26,0.01612,3.5218,3.5141,3.5234,0.030970,0.025365,0.006954,0.009876,1450.46,1164.26
101,102.00,1.0000,0.78867,0.74810,20.01,24.25,0.01422,3.5217,3.5281,3.5244,0.030971,0.025323,0.006955,0.009845,1450.40,1165.67
102,103.00,1.0000,0.78856,0.73947,20.01,24.24,0.01869,3.5216,3.5121,3.5212,0.030973,0.025410,0.006955,0.009917,1450.35,1161.79
103,104.00,1.0000,0.78844,0.74169,20.01,24.23,0.01746,3.5215,3.5244,3.5219,0.030975,0.025381,0.006956,0.009897,1450.29,1162.64
104,105.00,1.0000,0.78833,0.73896,20.01,24.23,0.01882,3.5215,3.5179,3.5208,0.030976,0.025406,0.006957,0.009919,1450.24,1161.35
105,106.00,1.0000,0.78822,0.72510,20.02,24.21,0.02594,3.5214,3.5000,3.5156,0.030978,0.025554,0.006958,0.010037,1450.18,1155.29
106,107.00,1.0000,0.78811,0.73302,20.02,24.21,0.02172,3.5213,3.5273,3.5186,0.030980,0.025460,0.006958,0.009967,1450.13,1158.52
107,108.00,1.0000,0.78800,0.72257,20.02,24.20,0.02717,3.5212,3.5041,3.5150,0.030981,0.025572,0.006959,0.010056,1450.07,1153.99
108,109.00,1.0000,0.78789,0.72841,20.02,24.19,0.02400,3.5211,3.5232,3.5172,0.030983,0.025501,0.006960,0.010004,1450.01,1156.33
109,110.00,1.0000,0.78778,0.72772,20.02,24.18,0.02431,3.5210,3.5164,3.5170,0.030985,0.025504,0.006960,0.010009,1449.96,1155.93
110,111.00,1.0000,0.78767,0.73812,20.02,24.18,0.01870,3.5210,3.5310,3.5205,0.030986,0.025381,0.006961,0.009916,1449.90,1160.20
111,112.00,1.0000,0.78756,0.72716,20.02,24.17,0.02440,3.5209,3.5048,3.5165,0.030988,0.025499,0.006962,0.010010,1449.85,1155.45
112,113.00,1.0000,0.78744,0.72675,20.02,24.16,0.02456,3.5208,3.5162,3.5165,0.030990,0.025499,0.006963,0.010012,1449.79,1155.17
113,114.00,1.0000,0.78733,0.73805,20.02,24.15,0.01853,3.5207,3.5324,3.5205,0.030991,0.025367,0.006963,0.009912,1449.74,1159.82
114,115.00,1.0000,0.78722,0.73440,20.02,24.15,0.02038,3.5206,3.5150,3.5190,0.030993,0.025403,0.006964,0.009942,1449.68,1158.16
115,116.00,1.0000,0.78711,0.72269,20.02,24.14,0.02644,3.5206,3.5019,3.5148,0.030995,0.025528,0.006965,0.010043,1449.63,1153.08
116,117.00,1.0000,0.78700,0.72702,20.02,24.13,0.02411,3.5205,3.5213,3.5165,0.030996,0.025475,0.006966,0.010004,1449.57,1154.79
117,118.00,1.0000,0.78689,0.73561,20.02,24.12,0.01954,3.5204,3.5289,3.5196,0.030998,0.025373,0.006966,0.009927,1449.52,1158.31
118,119.00,1.0000,0.78678,0.74452,20.02,24.12,0.01482,3.5203,3.5323,3.5227,0.031000,0.025269,0.006967,0.009848,1449.46,1161.99
119,120.00,1.0000,0.78667,0.73829,20.02,24.11,0.01798,3.5202,3.5130,3.5201,0.031001,0.025333,0.006968,0.009901,1449.41,1159.21
120,121.00,1.0000,0.78656,0.74355,20.02,24.10,0.01526,3.5201,3.5287,3.5221,0.031003,0.025270,0.006969,0.009854,1449.35,1161.36
121,122.00,1.0000,0.78644,0.75327,20.02,24.10,0.01034,3.5201,3.5386,3.5260,0.031005,0.025160,0.006969,0.009769,1449.30,1165.44
122,123.00,1.0000,0.78633,0.75200,20.02,24.09,0.01092,3.5200,3.5236,3.5251,0.031006,0.025169,0.006970,0.009779,1449.24,1164.78
